
Standard & Poors 500 Index,Last: 4115.9902,Change:  6.8802
"Date: April 11, 2023 at 3:57 PM EDT",Bid: 4115.48,Ask: 4116.48,Size: 1*1,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Fri Sep 15 2023,SPX230915C03690000,461.33,0,547.1,551.3,0,0.2347,0.8125,0.0004,0,3690.00,SPX230915P03690000,77.5,0,69.4,70,0,0.2349,-0.1887,0.0004,360
Fri Sep 15 2023,SPX230915C03700000,544.17,11.57,538.8,543,4,0.2336,0.8086,0.0004,3614,3700.00,SPX230915P03700000,70.48,-5.42,70.9,71.5,330,0.2338,-0.1926,0.0004,31670
Fri Sep 15 2023,SPX230915C03710000,527.68,0,530.6,534.7,0,0.2325,0.8047,0.0004,2,3710.00,SPX230915P03710000,78.33,0,72.5,73,0,0.2328,-0.1965,0.0004,343
Fri Sep 15 2023,SPX230915C03720000,0,0,522.3,526.5,0,0.2314,0.8007,0.0004,0,3720.00,SPX230915P03720000,73,-6.15,74,74.6,221,0.2317,-0.2005,0.0004,249
Fri Sep 15 2023,SPX230915C03725000,411.92,0,518.3,522.4,0,0.2309,0.7987,0.0004,93,3725.00,SPX230915P03725000,73.5,-6.55,74.8,75.1,243,0.2309,-0.2025,0.0004,3405
Fri Sep 15 2023,SPX230915C03730000,518.24,0,514.2,518.3,0,0.2303,0.7967,0.0005,9,3730.00,SPX230915P03730000,75.8,-5.05,75.6,76.2,117,0.2306,-0.2045,0.0005,176
Fri Sep 15 2023,SPX230915C03740000,413.4,0,506,510.1,0,0.2292,0.7925,0.0005,1,3740.00,SPX230915P03740000,77.2,-5.35,77.3,77.8,42,0.2295,-0.2086,0.0005,289
Fri Sep 15 2023,SPX230915C03750000,503.55,12.05,497.9,502,3,0.2281,0.7883,0.0005,5603,3750.00,SPX230915P03750000,77.6,-6.7,78.9,79.5,236,0.2284,-0.2129,0.0005,12636
Fri Sep 15 2023,SPX230915C03760000,0,0,489.8,493.9,0,0.227,0.784,0.0005,0,3760.00,SPX230915P03760000,90.9,0,80.6,81.2,0,0.2273,-0.2171,0.0005,213
Fri Sep 15 2023,SPX230915C03770000,454.6,0,483.4,484.4,0,0.2261,0.7797,0.0005,10,3770.00,SPX230915P03770000,82.4,-5.45,82.3,82.9,1,0.2262,-0.2215,0.0005,256
Fri Sep 15 2023,SPX230915C03775000,417.18,0,479.5,480.4,0,0.2256,0.7775,0.0005,2361,3775.00,SPX230915P03775000,82.25,-6.55,83.2,83.8,5,0.2257,-0.2237,0.0005,3110
Fri Sep 15 2023,SPX230915C03780000,456.83,0,475.5,476.4,0,0.225,0.7752,0.0005,1,3780.00,SPX230915P03780000,83.6,-6.1,84.1,84.6,104,0.2251,-0.2259,0.0005,323
Fri Sep 15 2023,SPX230915C03790000,483.7,0,467.5,468.4,0,0.2239,0.7707,0.0005,23,3790.00,SPX230915P03790000,85,-6.6,85.9,86.4,17,0.224,-0.2305,0.0005,962
Fri Sep 15 2023,SPX230915C03800000,450.65,0,459.5,460.5,0,0.2229,0.7661,0.0005,4290,3800.00,SPX230915P03800000,86.58,-6.87,87.7,88.3,130,0.2229,-0.235,0.0005,35304
